characterName,line
Phineas," It's a mystery, Ferb. A riddle. Whispering a secret to an enigma while driving down a lost highway in an Escher painting. How do they get the toothpaste into the tube?"
Ferb," Sometimes, if you're lost, it's best to just go..."
Ferb (cont'd), ... along for the ride.
Paisley Sideburn Brothers, (playing on Candace's MP3)
Candace," New Paisley Sideburn Brothers album, don't make me bust."
Paisley Sideburn Brothers (cont'd), (playing on Candace's MP3)
Phineas, And how do they get the red and blue toothpaste to swirl?
Phineas," Whoa. Hmm. Apparently, it just fell out of the sky."
Phineas," Well, I guess it's the only one. Let's open it up and see what's inside."
Phineas," Wow. It's a day full of questions. First the toothpaste, and now this."
Ferb," And of course, ""where's Perry?"""
Phineas, Yeah! See what I mean? We're up to our armpits in enigmas!
Major Monogram," Ah, Agent P. Glad you're here. Doofenshmirtz has been incommunicado for far too long. Either he's up to something big or he's met with some sort of foul play. (Perry leaves his seat) Man, that was rather abrupt. You know, sometimes, I feel like he just comes here to get his assignments."
Phineas," Aw, crud. It's the third battle ax I've broken on this thing. Sorry about that, Dumpy."
Dumpamir, The name is Dumpamir!
Baljeet, Wow! The fact that we cannot open it makes discovering the contents that much more tantalizing!
Phineas," I know, right? Luckily, Ferb has been working on a special z-ray machine that can see through any substance on the periodic table. It's highly experimental so you might want to encase yourself in this lead body armor."
Ferb," Well, we can't see into the capsule, but your second molar has a cavity. And it looks like Mrs. Garcia-Shapiro is making kreplach tortillas."
Doofenshmirtz, (A shadowy figure grabs him and he screams)
Doofenshmirtz, Hey! That's my lunch!
Phineas, I think I'm actually running out of ideas here.
Isabella, And pianos.
Baljeet, Should I go get a pipe organ?
Buford, I know the secret of how to open that hatch!
Phineas, You do?
Buford," I do! You see, for generations and generations, the Van Stomm family has been the guardian of the secret knowledge and protectors of the mystery capsule. We made the thirteenth-century Templars look like a bunch of wusses. And throughout the ages, our family has pledged our lives to conceal it from the unenlightened. And in doing so, we were entrusted with the only key that can unlock the capsule secrets."
Baljeet, Really?
Buford," Nah, just messin' with ya. I found it on the other side of the fence. I saw it fall out of the lock when the capsule dropped from the sky."
Phineas, It's worth a try.
